Наименование ;"План
проекта";План на отчет. месяц;План накопит. итогом;Факт* в отчет. месяце по заключен. ДДУ;Факт* накопительно по заключен. ДДУ;Откл. за месяц;Откл.  накопительно;% выполнения накопительно;% выполнения от общего объема
Квартиры;5062,03;135,78;1162,84;91,64;1118,7;-44,14;-44,14;0,962041209;0,220998295
1-ком. квартира;1163,79;44,14;164,23;0;120,09;-44,14;-44,14;0,731230591;0,10318872
2-ком. квартира;2149,01;0;719,55;91,64;811,19;91,64;91,64;1,127357376;0,377471487
3-ком. квартира;1482,83;91,64;279,06;0;187,42;-91,64;-91,64;0,67161184;0,12639345
4-ком. и более квартира ;266,4;0;0;0;0;0;0;0;0
Парковки;1054,75;15,53;82,95;43,37;110,41;27,84;27,46;1,331042797;0,104678834
Кладовые;195,53;4,09;12,71;10,07;18,69;5,98;5,98;1,470495673;0,095586355
Коммерческие помещения;338,66;0;255,27;0;255,27;0;0;1;0,753764838
ИТОГО;6650,97;155,4;1513,77;145,08;1503,07;-10,32;-10,7;0,992931555;0,2259926
