;;"Проект ""Многоквартирный жилой дом по ул. Седова в г. Иркутске""";;;;;;;;;;;;;;;
;;Исполнение графика тендеров (закупка услуг);;;;;;;;;;;;;;;
;;отчетная дата:;;;31.05.2026;;;;;;;;;;;;
;ID Код;Этап работ;ГПР;Отставание;Начало тендера;;;Дата заключения договора;;;Стоимость (руб.);;;Контрагент;Договор;Статус;Комментарий к отклонениям
№ статей;;;;;План;Факт;Откл.;План;Факт;Откл.;План;Факт;Откл.;;;;
;;;;;;;;;;;;;;;;;
;2.04.;Подготовка территории строительства;;;;;;;;;5 357 508,00  ;5 930 054,04  ;572 546,04  ;;;;Доп работы по протяжке 2 линии электроснабжения
24;2.05.08.1.;Отделка МОП;01.05.2027;01.05.2027;10.02.2027;;;01.04.2027;;;;;;;;;
25;2.05.08.6.;Устройство интерьерного инвентаря, МАФов МОП;01.10.2027;01.10.2027;13.07.2027;;;01.09.2027;;;;;;;;;
;2.05.09.;Отделка продаваемых объектов;01.05.2027;30.07.2027;11.05.2027;;;30.06.2027;;;;;;;;;
26;2.05.09.1.;Черновая отделка;01.05.2027;30.07.2027;11.05.2027;;;30.06.2027;;;;;;;;;
27;2.05.09.3.;Отделка чистовая;;;;;;;;;;;;;;;
28;2.05.09.4.;Отделка паркинга;;;;;;;;;;;;;;;
;2.05.10.;Оборудование, двери и окна;01.03.2027;11.03.2027;21.12.2026;;;09.02.2027;;;;;;;;;
29;2.05.10.1.;Монтаж оконных блоков;11.03.2027;11.03.2027;21.12.2026;;;09.02.2027;;;;;;;;;
30;2.05.10.2.;Монтаж витражей;01.03.2027;01.03.2027;11.12.2026;;;30.01.2027;;;;;;;;;
31;2.05.10.3.;Установка дверей;01.06.2027;01.06.2027;13.03.2027;;;02.05.2027;;;;;;;;;
32;2.05.10.4.;Монтаж лифтов;01.03.2027;01.03.2027;11.12.2026;;;30.01.2027;;;;;;;;;
33;2.05.10.6.;Монтаж ограждений и конструкций;19.02.2027;19.02.2027;01.12.2026;;;20.01.2027;;;;;;;;;
34;2.05.10.9.;Прочее оборудование дома;;;;;;;;;;;;;;;
;2.05.11.;Инженерные системы дома;01.07.2026;01.07.2026;01.06.2026;;;11.06.2026;;;;;;;;;
35;2.05.11.1.;Электроснабжение;01.07.2026;01.07.2026;01.06.2026;;;11.06.2026;;;;;;;;;
36;2.05.11.2.;Вентиляция;01.07.2026;01.07.2026;01.06.2026;;;11.06.2026;;;;;;;;;
37;2.05.11.3.;Отопление;05.08.2026;05.08.2026;06.07.2026;;;16.07.2026;;;;;;;;;
38;2.05.11.4.;Тепловой пункт;01.09.2026;01.09.2026;13.06.2026;;;12.08.2026;;;;;;;;;
39;2.05.11.5.;Водоснабжение и канализация;01.07.2026;01.07.2026;01.06.2026;;;11.06.2026;;;;;;;;;
40;2.05.11.9.;Прочие инженерные системы;01.07.2026;01.07.2026;01.06.2026;;;11.06.2026;;;;;;;;;
