№ п/п;Наименование ТМЦ;Этап работ ГПР;Дата поставки;;;Дата заключения договора;;;Ед. изм.;Объем поставки;;;Цена закупки за ед. (руб.);;;Стоимость (руб.);;;Поставщик;Договор;Статус;Комментарий к отклонениям;
;;;План;Факт;Откл.;План;Факт;Откл.;;План;Факт;Откл.;План;Факт;Откл.;План;Факт;Откл.;;;;;
18;Арматура ; 2.05.02.3. Устройство цоколя / Устройство стен цоколя на отм.. -7.130;01.04.2026;10.12.2025;-112;08.12.2025;10.12.2025;2;кг;13 634,70;6 327,27;-7 307,43;78,00;59,00;-19,00;1 063 506,60;373 308,75;-690 197,85;"АО ""Темерсо""";Договор поставки №191660 от 15.09.2025;частично;;
19;Арматура;2.05.04.2. Монолитные конструкции / Монолитные конструкции 3 этаж;21.04.2026;;;;;;кг;30 489,80;;;78,00;;;2 378 204,40;0,00;;;;План;;
20;Арматура;2.05.04.2. Монолитные конструкции / Монолитные конструкции 4 этаж;11.05.2026;;;;;;кг;30 489,80;;;78,00;;;2 378 204,40;0,00;;;;план;;
21;Арматура;2.05.04.2. Монолитные конструкции / Монолитные конструкции 5 этаж;26.05.2026;;;;;;кг;30 547,44;;;78,00;;;2 382 700,24;0,00;;;;план;;
22;Арматура;2.05.04.2. Монолитные конструкции / Монолитные конструкции 6 этаж;13.06.2026;;;;;;кг;30 517,30;;;78,00;;;2 380 349,40;0,00;;;;план;;
23;Арматура;2.05.04.2. Монолитные конструкции / Монолитные конструкции 7 этаж;01.07.2026;;;;;;кг;30 539,24;;;78,00;;;2 382 060,64;0,00;;;;план;;
24;Арматура;2.05.04.2. Монолитные конструкции / Монолитные конструкции 8 этаж;20.07.2026;;;;;;кг;31 111,30;;;78,00;;;2 426 681,01;0,00;;;;план;;
25;Арматура;2.05.04.2. Монолитные конструкции / Монолитные конструкции 9 этаж;06.08.2026;;;;;;кг;29 995,27;;;78,00;;;2 339 631,22;0,00;;;;План;;
26;Арматура;2.05.02.3. Устройство цоколя / Устройство плиты покрытия на отм.-3.900;27.04.2026;10.12.2025;-138;08.12.2025;10.12.2025;2;кг;19 013,70;4 940,53;-14 073,17;78,00;59,00;-19,00;1 483 068,60;291 491,27;-1 191 577,33;"АО ""Темерсо""";Договор поставки №191660 от 15.09.2025;частично;;
27;Арматура; 2.05.02.3. Устройство цоколя / Устройство стен цоколя на отм.. - 3.900;15.04.2026;28.11.2025;-138;24.11.2025;26.11.2025;2;кг;28 044,70;2 653,46;-25 391,24;78,00;59,00;-19,00;2 187 486,60;156 554,14;-2 030 932,46;"АО ""Темерсо""";Договор поставки №191660 от 15.09.2025;частично;;
