"Проект ""Верба""";;;;;;;;;;;;;;;;;;;;;;;
Исполнение плана продаж;;;;;;;;;;;;;;;;;;;;;;;
отчетная дата:;31.03.2026;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;* Факт с учетом расторжений и возвратов ДС по итогам расторжений;;;;;;;;;;;;;;
Наименование ;Количество, штук;;;;;;;;;Комментарии к отклонениям;;;;;;;;;;;;;
;"План
Кладовые;23 067 430;543 970;1 595 610;0;1 051 640;-543 970;-543 970;65,9%;4,6%;23 067 430;190 000;468 340;190 000;468 340;0;0;100,0%;2,0%;;;;;
Коммерческие помещения;82 034 400;0;67 858 100;0;67 858 100;0;0;100,0%;82,7%;82 034 400;250 000;17 283 500;250 000;17 283 500;0;0;100,0%;21,1%;;;;;
ИТОГО;1 502 050 089;35 064 314;356 951 474;0;321 887 160;-35 064 314;-35 064 314;90,2%;21,4%;1 502 050 089;38 595 000;117 611 683;11 361 427;90 378 110;-27 233 573;-27 233 573;76,8%;6,0%;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Наименование ;Средняя стоимость объекта по общей площади, рб./кв.м.;;;;;;;;;Средняя стоимость объекта по приведенной площади, рб./кв.м.;;;;;;;;;;;;;
;"План
проекта";План на отчет. месяц;План накопит. итогом;Факт* в отчет. месяце по заключен. ДДУ;Факт* накопительно по заключен. ДДУ;Откл. за месяц;Откл.  накопительно;% выполнения накопительно;% выполнения от общего объема;"План
проекта";План на отчет. месяц;План накопит. итогом;Факт* в отчет. месяце;Факт* накопительно;Откл. за месяц;Откл.  накопительно;% выполнения накопительно;% выполнения от общего объема;;;;;
Квартиры;238 759;233 387;215 663;0;213 536;-233 387;-2 128;99,0%;89,4%;240 129;233 387;234 944;0;215 887;-233 387;-19 057;91,9%;89,9%;;;;;
1-ком. квартира;284 692;272 191;279 597;#ДЕЛ/0!;282 319;#ДЕЛ/0!;2 722;101,0%;99,2%;284 692;272 191;279 597;#ДЕЛ/0!;282 319;#ДЕЛ/0!;2 722;101,0%;99,2%;;;;;
2-ком. квартира;231 770;#ДЕЛ/0!;230 506;#ДЕЛ/0!;230 506;#ДЕЛ/0!;0;100,0%;99,5%;234 712;#ДЕЛ/0!;233 889;0;207 466;#ДЕЛ/0!;-26 422;88,7%;88,4%;;;;;
3-ком. квартира;214 127;214 697;158 378;#ДЕЛ/0!;140 000;#ДЕЛ/0!;-18 379;88,4%;65,4%;214 381;214 697;211 387;#ДЕЛ/0!;209 768;#ДЕЛ/0!;-1 619;99,2%;97,8%;;;;;
4-ком. и более квартира ;232 465;0;#ДЕЛ/0!;#ДЕЛ/0!;#ДЕЛ/0!;#ДЕЛ/0!;#ДЕЛ/0!;#ДЕЛ/0!;#ДЕЛ/0!;232 465;#ДЕЛ/0!;#ДЕЛ/0!;#ДЕЛ/0!;#ДЕЛ/0!;#ДЕЛ/0!;#ДЕЛ/0!;#ДЕЛ/0!;#ДЕЛ/0!;;;;;
Парковки;171 992;181 126;172 921;0;103 835;-181 126;-69 086;60,0%;60,4%;171 992;182 292;172 338;0;103 835;-182 292;-68 503;60,3%;60,4%;;;;;
Кладовые;117 974;133 000;125 540;0;56 268;-133 000;-69 272;44,8%;47,7%;117 974;133 000;125 540;0;56 268;-133 000;-69 272;44,8%;47,7%;;;;;
Коммерческие помещения;242 232;#ДЕЛ/0!;265 829;#ДЕЛ/0!;265 829;#ДЕЛ/0!;0;100,0%;109,7%;242 232;#ДЕЛ/0!;265 829;#ДЕЛ/0!;265 829;#ДЕЛ/0!;0;100,0%;109,7%;;;;;
ИТОГО;224 857;225 494;220 688;0;212 412;-225 494;-8 276;96,3%;94,5%;225 839;225 639;235 803;0;214 153;-225 639;-21 650;90,8%;94,8%;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Наименование ;Общая стоимость проекта;;;;;;;;;;;;;;;;;;;;;;
